"","Heritability","Male Insecticide Exposure","Female Insecticide Exposure","Female Fitness Cost","Male Fitness Cost","Intervention Coverage","Dispersal","Between Gonotrophic Survival","coverage.i","coverage.j","coverage.ij","f.encounter.i","f.encounter.j","f.encounter.ij","m.encounter.i","m.encounter.j","m.encounter.ij"
"1",0.266428454941115,0.234939591982262,0.689989052531123,0.0307630903192542,0.0137181235326976,0.745818909111032,0.383222231510412,0.773936508445057,0.4125,0.1193,0.4682,0.2794,0.3064,0.4142,0.3145,0.2453,0.4402
"2",0.272112141035922,0.277813901035604,0.798943439109298,0.00480754752412695,0.00627031655993662,0.654342176973727,0.631161391840484,0.733218328148342,0.2023,0.239,0.5587,0.277,0.2877,0.4353,0.3531,0.2907,0.3562
"3",0.126612398369767,0.584408204022888,0.631311440041766,0.0279404804062636,0.0254087540861883,0.556966643976914,0.885485090030953,0.827788274038274,0.394,0.1787,0.4273,0.0367,0.4745,0.4888,0.1914,0.5678,0.2408
"4",0.178395437711623,0.648185721879592,0.413477047513914,0.028699579183602,0.00311834847934823,0.703437004003888,0.543915257386416,0.693587325986872,0.4411,0.3009,0.258,0.3741,0.4603,0.1656,0.0555,0.4783,0.4662
"5",0.193496344668238,0.15656409500984,0.631934291330457,0.00873481338522304,0.00434446235532686,0.66706142582939,0.570230649295021,0.882749636473883,0.5795,0.3157,0.1048,0.0117,0.6804,0.3078,0.4045,0.5861,0.0094
"6",0.170690615148883,0.0566413323910208,0.403590293525369,0.0122331141096419,0.00284646266287728,0.868329950747583,0.326074573714882,0.68592344598251,0.5282,0.2076,0.2642,0.4251,0.1818,0.3931,0.397,0.1563,0.4467
"7",0.257973746483534,0.12033425422858,0.738678851388418,0.00577423183500581,0.0225712086616559,0.77537973281974,0.821025183117502,0.893257337752449,0.3843,0.2764,0.3393,0.1719,0.6037,0.2244,0.2814,0.3731,0.3455
"8",0.294233401358797,0.727456890938966,0.423219326788234,0.0173916321611363,0.0260079089132233,0.832507716757888,0.471699182980582,0.891623628469383,0.1873,0.4095,0.4032,0.4828,0.1864,0.3307,0.4037,0.4833,0.1129
"9",0.0556820527429925,0.52193573157012,0.607783745541971,0.0115284499355014,0.00852554274805053,0.648745971998349,0.352252303358521,0.755864193683174,0.5367,0.251,0.2123,0.3849,0.2527,0.3624,0.2483,0.607,0.1447
"10",0.246957197166054,0.623597285174485,0.582963274975284,0.0310895071678793,0.0186024993123291,0.54984724613932,0.334263368187808,0.76594714552172,0.2922,0.3564,0.3514,0.0167,0.1417,0.8416,0.3677,0.2917,0.3406
"11",0.237155113922135,0.942925003283867,0.856509705207928,0.0224068785556243,0.0189787983215491,0.501759150093254,0.608746447646059,0.870019692794597,0.3497,0.2295,0.4207,0.1647,0.1847,0.6506,0.2598,0.4886,0.2516
"12",0.0800915685249667,0.982822021070542,0.561957179256808,0.0123304971009006,0.00954660276646889,0.519887457306637,0.748245344079193,0.696689691593295,0.466,0.3796,0.1544,0.3241,0.4177,0.2582,0.6821,0.0705,0.2474
"13",0.169949116892659,0.758436854433687,0.754962106784782,0.0311898878407462,0.00343981349476753,0.6294232069859,0.204654632177092,0.818919683981461,0.3347,0.3413,0.3241,0.1255,0.8428,0.0317,0.2764,0.269,0.4546
"14",0.297605674187013,0.0677031095566461,0.591977312804642,0.0210997563745773,0.0235570539711339,0.583781970275696,0.662175958407987,0.708523824463035,0.2476,0.6202,0.1322,0.4815,0.4491,0.0694,0.4495,0.4186,0.1319
"15",0.221624690616474,0.51863102099963,0.643460053719487,0.0170155783021958,0.00682398769299313,0.610238605518639,0.326573204839025,0.905610593083206,0.7136,0.1393,0.1471,0.0125,0.4238,0.5637,0.1685,0.3903,0.4411
"16",0.242980390476261,0.336386912993295,0.729561554449238,0.0236282729437654,0.00346007024081866,0.730594928131625,0.388257878431268,0.680119042286872,0.587,0.1793,0.2336,0.4538,0.1192,0.427,0.1265,0.5553,0.3182
"17",0.295972646388039,0.0405824875288876,0.550938274943095,0.0143735315634154,0.0260457046497294,0.781962245592596,0.216310836154949,0.880537881527649,0.3591,0.2485,0.3924,0.0846,0.7091,0.2064,0.1589,0.4416,0.3995
"18",0.21538206021724,0.236920922137215,0.886820314774266,0.00751185941246105,0.0154488140244382,0.539261642335113,0.385348348994069,0.784776332477728,0.1611,0.1931,0.6458,0.2881,0.1163,0.5956,0.3083,0.424,0.2677
"19",0.244763136516459,0.2882528184233,0.808802696361591,0.0249692992345637,0.00559951603322662,0.662490865724916,0.315472612696998,0.753750433800407,0.4667,0.4132,0.1201,0.3129,0.187,0.5001,0.3542,0.1814,0.4644
"20",0.151949077373091,0.939291169281211,0.715136603542161,0.0281907873565524,0.0134135155890132,0.502843405339606,0.367222928871196,0.894765478827551,0.3527,0.4588,0.1885,0.2228,0.5184,0.2589,0.4093,0.0965,0.4942
"21",0.198951774370944,0.443085652561858,0.518432846248336,0.0266974662627592,0.0263766946624408,0.624521461761529,0.43616476425536,0.7790141134243,0.5601,0.4056,0.0343,0.337,0.3777,0.2853,0.4702,0.1574,0.3724
"22",0.204431804116536,0.487707905424316,0.882689506760752,0.0304056893594293,0.0129633530739502,0.805864526639059,0.225931354043763,0.806447988860965,0.0701,0.6703,0.2596,0.5007,0.4583,0.041,0.164,0.2845,0.5515
"23",0.0653412078046123,0.76754173663964,0.487972171110963,0.00386152435463574,0.00854732554511121,0.813875219290564,0.867734682308864,0.826268243939965,0.29,0.438,0.2719,0.2168,0.2571,0.5261,0.4744,0.4516,0.074
"24",0.279052763560205,0.717277338366932,0.775020514156239,0.00848761721120449,0.0173956160731912,0.882927305812705,0.423408273353688,0.718677811470671,0.4661,0.338,0.1959,0.2685,0.5821,0.1493,0.426,0.2694,0.3046
"25",0.0738554110149853,0.384408645767719,0.793836404850183,0.0313316142478541,0.0289410402293021,0.696377147130379,0.652049803806674,0.917786429265781,0.2817,0.3558,0.3625,0.1362,0.4362,0.4275,0.3741,0.3237,0.3022
"26",0.193161659316474,0.744226453615609,0.759156685756706,0.0215036589773537,0.0172796909202635,0.893157836976433,0.433289244513698,0.706620346367399,0.2834,0.5431,0.1735,0.3629,0.1824,0.4547,0.4336,0.3233,0.2431
"27",0.0587285602144606,0.029430901327543,0.789908779989532,0.0266472238991465,0.0303331016582483,0.754736767039038,0.24195520536501,0.918594806047002,0.3105,0.4114,0.2781,0.2559,0.0555,0.6886,0.2087,0.2947,0.4966
"28",0.112416101014923,0.614780670787767,0.699927481116948,0.0298143917409533,0.0306261908008275,0.531490846904255,0.410798581048548,0.899538771066447,0.2001,0.3775,0.4223,0.8202,0.0921,0.0877,0.3077,0.4498,0.2424
"29",0.171119385548297,0.719425690823072,0.817008776819042,0.00993043730076775,0.0180932943469733,0.812942171132201,0.291242941061612,0.725818830968003,0.2766,0.0327,0.6907,0.519,0.4121,0.069,0.136,0.5831,0.2809
"30",0.199409424945281,0.405272818917083,0.817782799930812,0.0268025409824632,0.0313264794404039,0.836298209668407,0.372506367453337,0.799343826994328,0.1426,0.4912,0.3663,0.7171,0.0415,0.2415,0.2841,0.3207,0.3952
"31",0.173048699014378,0.23309277941226,0.445413225975982,0.00995629465512862,0.0313958550214779,0.698818610476032,0.204297988178078,0.736492261757826,0.3743,0.3599,0.2659,0.4425,0.2684,0.2891,0.0484,0.1802,0.7713
"32",0.173336674857378,0.0168841774694854,0.710099249526591,0.0150467719749578,0.0171987015631606,0.839715543330452,0.286076165017486,0.898094577846265,0.1704,0.3048,0.5248,0.2213,0.5478,0.2309,0.36,0.0663,0.5737
"33",0.251302240939823,0.430118671703967,0.569175049882697,0.0169188353148515,0.00546389137622761,0.799662634991547,0.32300554971844,0.683948718658829,0.251,0.2375,0.5115,0.4173,0.2604,0.3223,0.3471,0.4442,0.2087
"34",0.0667498194605578,0.352663573649013,0.687911441683094,0.0264046352822159,0.0201319066321922,0.667319451639559,0.447462855443899,0.942434067493016,0.6156,0.0822,0.3022,0.4315,0.0746,0.4939,0.3343,0.1342,0.5315
"35",0.244476706443483,0.119151825011452,0.697142733158101,0.0193556831297406,0.0266341565700937,0.507377886574194,0.795661550208107,0.741840739230503,0.0463,0.3925,0.5612,0.2954,0.547,0.1576,0.1922,0.13,0.6777
"36",0.0870028203071386,0.393506034218543,0.724159404420957,0.021680231923159,0.0286773870859984,0.720098107967265,0.594384413581807,0.873728030747048,0.7178,0.015,0.2672,0.4628,0.4734,0.0637,0.1902,0.4556,0.3542
